iter	Passed	Remaining
0	196	196533
1	199	99383
2	200	66661
3	201	50156
4	202	40241
5	202	33626
6	203	28909
7	204	25357
8	205	22592
9	205	20374
10	206	18560
11	207	17050
12	208	15798
13	209	14757
14	210	13825
15	211	13029
16	212	12297
17	213	11655
18	214	11070
19	215	10539
20	215	10061
21	216	9624
22	217	9224
23	217	8855
24	218	8517
25	219	8204
26	219	7914
27	220	7646
28	221	7412
29	223	7216
30	224	7015
31	225	6828
32	226	6644
33	227	6468
34	228	6312
35	229	6155
36	230	6003
37	231	5858
38	232	5722
39	233	5593
40	233	5468
41	237	5414
42	238	5311
43	240	5219
44	241	5123
45	242	5026
46	243	4934
47	244	4841
48	244	4751
49	245	4664
50	246	4581
51	246	4499
52	247	4421
53	248	4349
54	250	4299
55	251	4237
56	252	4175
57	253	4116
58	255	4069
59	256	4012
60	256	3954
61	257	3899
62	258	3843
63	259	3789
64	259	3736
65	260	3684
66	261	3635
67	261	3587
68	263	3556
69	264	3512
70	264	3467
71	265	3423
72	266	3384
73	267	3344
74	268	3306
75	268	3268
76	269	3233
77	270	3196
78	271	3160
79	271	3126
80	272	3092
81	273	3059
82	273	3024
83	274	2993
84	275	2962
85	275	2932
86	277	2914
87	278	2888
88	279	2864
89	281	2846
90	282	2822
91	283	2797
92	284	2772
93	284	2746
94	285	2721
95	286	2696
96	287	2671
97	287	2647
98	288	2623
99	289	2601
100	289	2578
101	290	2557
102	292	2543
103	292	2523
104	293	2504
105	294	2487
106	295	2468
107	296	2451
108	298	2436
109	299	2421
110	300	2405
111	301	2387
112	301	2370
113	302	2353
114	303	2335
115	304	2317
116	304	2298
117	305	2281
118	306	2272
119	308	2265
120	309	2249
121	310	2232
122	311	2218
123	311	2204
124	312	2189
125	313	2175
126	314	2160
127	315	2148
128	316	2135
129	316	2121
130	317	2107
131	318	2092
132	318	2078
133	319	2064
134	321	2059
135	322	2049
136	323	2036
137	324	2024
138	325	2016
139	326	2004
140	327	1992
141	327	1978
142	328	1966
143	328	1954
144	329	1943
145	330	1931
146	330	1919
147	331	1907
148	331	1896
149	332	1884
150	333	1873
151	333	1862
152	334	1851
153	338	1859
154	340	1855
155	341	1846
156	342	1836
157	342	1827
158	343	1817
159	344	1809
160	345	1798
161	345	1789
162	346	1779
163	347	1770
164	348	1761
165	348	1751
166	349	1742
167	350	1734
168	352	1732
169	353	1725
170	354	1718
171	355	1710
172	356	1702
173	356	1694
174	357	1686
175	358	1678
176	359	1671
177	360	1662
178	360	1654
179	361	1646
180	362	1638
181	362	1630
182	363	1622
183	363	1614
184	366	1614
185	367	1607
186	367	1599
187	368	1591
188	369	1584
189	370	1577
190	370	1570
191	371	1563
192	372	1555
193	372	1548
194	373	1541
195	373	1533
196	374	1526
197	374	1518
198	375	1511
199	376	1504
200	376	1497
201	377	1490
202	377	1483
203	378	1475
204	378	1468
205	379	1462
206	380	1459
207	381	1454
208	382	1447
209	383	1440
210	383	1434
211	384	1429
212	385	1423
213	385	1416
214	386	1410
215	386	1404
216	387	1398
217	388	1391
218	388	1385
219	389	1379
220	389	1373
221	390	1368
222	390	1362
223	391	1356
224	392	1350
225	392	1344
226	393	1338
227	393	1333
228	394	1327
229	396	1328
230	398	1325
231	399	1320
232	400	1316
233	400	1311
234	401	1306
235	401	1301
236	402	1295
237	403	1290
238	403	1285
239	404	1280
240	404	1275
241	405	1270
242	406	1265
